Taxon,growthForm,source
Acacia.bakeri,tree,native
Acacia.fimbriata,tree,native
Acmena.smithii,tree,native
Acronychia.oblongifolia,tree,native
Ailanthus.triphysa,tree,native
Alangium.villosum,tree,native
Alchornea.ilicifolia,shrub,native
Alectryon.tomentosus,tree,native
Alphitonia.excelsa,tree,native
Alyxia.ruscifolia,shrub,native
Aphananthe.philippinensis,tree,native
Araucaria.cunninghamii,tree,native
Archidendron.muellerianum,tree,native
Archirhodomyrtus.beckleri,tree,native
Ardisia.crenata,shrub,exotic
Argophyllum.nullumense,shrub,native
Argyrodendron.trifoliolatum,tree,native
Aristolochia.elegans,vine,exotic
Arytera.distylis,tree,native
Arytera.divaricata,tree,native
Atalaya.salicifolia,tree,native
Atractocarpus.chartaceus,tree,native
Auranticarpa.rhombifolia,tree,native
Backhousia.myrtifolia,tree,native
Beilschmiedia.obtusifolia,tree,native
Breynia.oblongifolia,shrub,native
Bridelia.exaltata,tree,native
Bridelia.leichhardtii,tree,native
Bursaria.incana,shrub,native
Calamus.muelleri,vine,native
Callerya.megasperma,vine,native
Callistemon.salignus,tree,native
Callistemon.viminalis,tree,native
Canarium.australasicum,tree,native
Capparis.arborea,shrub,native
Capparis.velutina,vine,native
Cardiospermum.grandiflorum,vine,exotic
Carex.appressa,herb,native
Carex.spp,herb,native
Carissa.ovata,shrub,native
Carronia.multisepalea,vine,native
Castanospermum.australe,tree,native
Casuarina.cunninghamiana,tree,native
Casuarina.littoralis,tree,native
Cayratia.clematidea,vine,native
Celtis.sinensis,tree,exotic
Cestrum.nocturnum,shrub,exotic
Cinnamomum.camphora,tree,exotic
Cinnamomum.oliveri,tree,native
Cissus.antarctica,vine,native
Cissus.hypoglauca,vine,native
Citronella.moorei,tree,native
Cleistanthus.cunninghamii,tree,native
Clematis.aristata,vine,native
Clerodendrum.floribundum,tree,native
Commersonia.bartramia,tree,native
Croton.acronychioides,shrub,native
Cryptocarya.bidwillii,tree,native
Cryptocarya.glaucescens,tree,native
Cryptocarya.laevigata,shrub,native
Cryptocarya.macdonaldii,tree,native
Cryptocarya.obovata,tree,native
Cryptocarya.sclerophylla,tree,native
Cryptocarya.triplinervis,tree,native
Cupaniopsis.anacardioides,tree,native
Cupaniopsis.newmanii,tree,native
Cupaniopsis.serrata,tree,native
Cyclophyllum.coprosmoides,tree,native
Cyperus.involucratus,herb,exotic
Cyperus.spp,herb,native
Daphnandra.apatela,tree,native
Daphnandra.tenuipes,tree,native
Derris.involuta,vine,native
Dioscorea.transversa,vine,native
Diospyros.australis,tree,native
Diospyros.ellipticifolia,tree,native
Diospyros.fasciculosa,tree,native
Diospyros.geminata,tree,native
Diospyros.pentamera,tree,native
Diploglottis.australis,tree,native
Dissiliaria.baloghioides,tree,native
Drypetes.deplanchei,tree,native
Dysoxylum.rufum,tree,native
Elaeagnus.triflora,vine,exotic
Elaeocarpus.grandis,tree,native
Elaeocarpus.obovatus,tree,native
Elattostachys.nervosa,tree,native
Elattostachys.xylocarpa,tree,native
Embelia.australiana,vine,native
Endiandra.discolor,tree,native
Endiandra.globosa,tree,native
Endiandra.pubens,tree,native
Endiandra.sieberi,tree,native
Endiandra.virens,tree,native
Enidandra.discolor,tree,native
Erythrina.species..croftby.,NA,NA
Eugenia.uniflora,shrub,exotic
Eupomatia.bennettii,shrub,native
Eupomatia.laurina,tree,native
Euroschinus.falcatus,tree,native
Ficus.coronata,tree,native
Ficus.fraseri,tree,native
Ficus.obliqua,tree,native
Ficus.opposita,tree,native
Ficus.racemosa,tree,native
Ficus.virens,tree,native
Ficus.watkinsiana,tree,native
Flagellaria.indica,vine,native
Flindersia.schottiana,tree,native
Geitonoplesium.cymosum,vine,native
Glochidion.ferdinandi,tree,native
Grevillea.robusta,tree,native
Guioa.semiglauca,tree,native
Helicia.glabriflora,tree,native
Hibiscus.heterophyllus,shrub,native
Hicksbeachia.pinnatifolia,tree,native
Hippocratea.barbata,vine,native
Hodgkinsonia.ovatiflora,tree,native
Hymenosporum.flavum,tree,native
Ipomoea.cairica,vine,exotic
Ixora.beckleri,tree,native
Jacaranda.mimosifolia,tree,exotic
Jagera.pseudorhus,tree,native
Lantana.camara,shrub,exotic
Legnephora.moorei,vine,native
Lepiderema.pulchella,tree,native
Leucaena.leucocephala,tree,exotic
Ligustrum.lucidum,tree,exotic
Ligustrum.sinense,shrub,exotic
Ligustrum.sinensis,tree,exotic
Lomandra.hystrix,herb,native
Lomandra.longifolia,herb,native
Lomandra.sp,herb,native
Lophostemon.confertus,tree,native
Lophostemon.suaveolens,tree,native
Macadamia.tetraphylla,tree,native
Macfadyena.unguiscati,vine,exotic
Maclura.cochinchinensis,vine,native
Mallotus.claoxyloides,tree,native
Mallotus.discolor,tree,native
Mallotus.philippensis,tree,native
Marsdenia.rostrata,vine,native
Medicosma.cunninghamii,tree,native
Melaleuca.bracteata,tree,native
Melaleuca.quinquenervia,tree,native
Melaleuca.spp,tree,native
Melia.azedarach,tree,native
Melodinus.australis,vine,native
Melodorum.leichhardtii,vine,native
Micromelum.minutum,tree,native
Mischarytera.lautereriana,tree,native
Mischocarpus.australis,tree,native
Mischocarpus.pyriformis,tree,native
Morinda.jasminoides,vine,native
Myrsine.variabilis,shrub,native
Nandina.spp,shrub,exotic
Neolitsea.dealbata,tree,native
Notelaea.longifolia,tree,native
Notelaea.microcarpa,shrub,native
Ochna.serrulata,shrub,exotic
Olea.paniculata,tree,native
Pandorea.pandorana,vine,native
Pararchidendron.pruinosum,tree,native
Parsonsia.straminea,vine,native
Passiflora.edulis,vine,exotic
Passiflora.suberosa,vine,exotic
Passiflora.subpeltata,vine,exotic
Pavetta.australiensis,shrub,native
Phyllanthus.microcladus,shrub,native
Pilidiostigma.rhytispermum,shrub,native
Piper.hederaceum,vine,native
Pittosporum.multiflorum,tree,native
Pittosporum.undulatum,tree,native
Planchonella.australis,tree,native
Pleurostylia.opposita,tree,native
Polyscias.elegans,tree,native
Pothos.longipes,vine,native
Pouteria.queenslandica,tree,native
Pseudoweinmannia.lachnocarpa,tree,native
Psychotria.daphnoides,shrub,native
Psychotria.loniceroides,shrub,native
Psychotria.spp...shute.harbour.,NA,NA
Psydrax.odorata,shrub,native
Pteridium.esculentum,herb,native
Rhodamnia.argentea,tree,native
Rhodamnia.rubescens,tree,native
Rhodomyrtus.psidioides,tree,native
Rhodosphaera.rhodanthema,tree,native
Ricinus.communis,shrub,exotic
Ripogonum.spp,vine,native
Rubus.moluccanus,vine,native
Rubus.rosifolius,vine,native
Sarcopteryx.stipata,tree,native
Schefflera.actinophylla,tree,exotic
Schoenoplectus.validus,herb,native
Senna.pendula,shrub,exotic
Senna.septemtrionalis,shrub,exotic
Senna.sulfurea,shrub,native
Sloanea.australis,tree,native
Sloanea.woollsii,tree,native
Sloenea.australis,tree,native
Smilax.australis,vine,native
Solanum.chrysotrichum,shrub,exotic
Solanum.mauritianum,tree,exotic
Solanum.seaforthianum,vine,exotic
Solanum.torvum,shrub,exotic
Stephania.japonica,vine,native
Sterculia.quadrifida,tree,native
Streblus.brunonianus,tree,native
Synoum.glandulosum,tree,native
Syzygium.australe,tree,native
Syzygium.floribundum,tree,native
Syzygium.luehmannii,tree,native
Syzygium.oleosum,tree,native
Tabernaemontana.pandacaqui,shrub,native
Tecoma.capensis,shrub,exotic
Tecoma.stans,tree,exotic
Toechima.tenax,tree,native
Toona.ciliata,tree,native
Trema.tomentosa,tree,native
Tristaniopsis.laurina,tree,native
Trophis.scandens,vine,native
Turraea.pubescens,shrub,native
Vitex.melicopea,shrub,native
Wikstroemia.indica,shrub,native
Wilkiea.huegeliana,shrub,native
Wilkiea.macrophylla,shrub,native
Archontophoenix.spp,tree,native
Desmodium.spp,vine,exotic
