,flowering.start,flowering.end,flowering.duration,flowering source,flowering.duration,leaf.area,maximum.height,,seed.mass,SLA,wood.density,,,leaf.length1,leaf.length2,leaf.length.avg,leaf.width1,leaf.width2,leaf.width.avg,leaf.area.calc,source,
Passiflora.subpeltata,9,2,6,http://weeds.brisbane.qld.gov.au/weeds/white-passionflower,NA,NA,NA,,69,NA,NA,,,,,,,,,,,
Passiflora.suberosa,10,6,8,http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&card=V18,NA,NA,NA,,3.476,NA,NA,,,,,,,,,,,
Solanum.seaforthianum,,,,,9,NA,NA,,2.115,NA,NA,,,,,,,,,,,
Legnephora.moorei,,,,,3,130.847,NA,,36,27.15177844,NA,,,8,20,14,8,20,14,,NSW flora online,
Calamus.muelleri,,,,,3,53.60875,NA,,443.925,13.0429245,NA,,,10,20,15,3,6,4.5,,NSW flora online,
Smilax.australis,,,,,6,53.425125,NA,,35.2845,11.21656857,NA,,,5,15,10,3,10,6.5,,NSW flora online,
Piper.hederaceum,,,,,NA,51.476,NA,,NA,NA,NA,,,5,14,9.5,2.5,9,5.75,,http://keys.trin.org.au/key-server/data/0e0f0504-0103-430d-8004-060d07080d04/media/Html/taxon/Piper_hederaceum_var._hederaceum.htm,
Melodinus.australis,,,,,6,48.79575,NA,,65,NA,NA,,,4,10,7,1,3.5,2.25,,NSW flora online,
Carronia.multisepalea,,,,,NA,45.535,NA,,62.832,NA,NA,,,6,20,13,3,8,5.5,,NSW flora online,
Parsonsia.straminea,,,,,5,41.86672727,NA,,8.848,22.37626912,NA,,,4,24,14,1.5,8,4.75,,NSW flora online,
Stephania.japonica,,,,,6,40.52418182,NA,,20.58866667,21.61541145,NA,,,4,10,7,4,10,7,,J. Lawson field obs.,
Marsdenia.rostrata,,,,,6,38.65233333,NA,,77.35,23.69965666,NA,,,4,13,8.5,2,7,4.5,,NSW flora online,
Cissus.antarctica,,,,,9,38.0355,NA,,65.4,16.02778242,0.545107896,,,4,12,8,2,5,3.5,,NSW flora online,
Melodorum.leichhardtii,8,12,5,http://sgaptownsville.org.au/Melodorum-leichhardtii.html,NA,29.9825,NA,,124.16,NA,NA,,,6,12,9,2,5,3.5,,NSW flora online,
Trophis.scandens,,,,,12,24.6769,NA,,80.55,10.49585169,0.658939167,,,3,8,5.5,1.5,4,2.75,,NSW flora online,
Flagellaria.indica,,,,,12,22.38892308,NA,,33.04033134,18.84589671,NA,,,10,40,25,0.5,2,1.25,,NSW flora online,
Embelia.australiana,,,,,1,22.16371429,NA,,59.49,12.77505002,NA,,,3,8,5.5,1.5,4,2.75,,NSW flora online,
Pandorea.pandorana,,,,,7,10.1108,NA,,3.9844375,27.01734496,0.4477,,,2.5,8,5.25,0.2,3,1.6,,NSW flora online,
Callerya.megasperma,,,,,3,9.72825,NA,,7385.347116,NA,NA,,,4,10,7,2,3.5,2.75,,NSW flora online,
Morinda.jasminoides,,,,,7,9.538090909,NA,,7.248333333,26.0434634,NA,,,2.5,8,5.25,1,3,2,,NSW flora online,
Maclura.cochinchinensis,,,,,NA,8.60825,NA,,11.167,18.42224673,NA,,,3,8,5.5,1,4,2.5,,NSW flora online,
Derris.involuta,,,,,6,8.313,NA,,17.508,NA,NA,,,2.5,7,4.75,1.5,3.5,2.5,,NSW flora online,
Geitonoplesium.cymosum,,,,,6,5.6658125,NA,,15.32,32.90140926,NA,,,2,10,6,0.3,2.5,1.4,,NSW flora online,
Pothos.longipes,,,,,2,4.2,NA,,109,12.0048,NA,,,1.5,5,3.25,0.5,1.5,1,,NSW flora online,
Rubus.rosifolius,,,,,12,3.19675,NA,,0.524784111,23.95933333,NA,,,3,8,5.5,1,2,1.5,,NSW flora online,
Sloanea.australis,,,,,6,57.03725,45,,NA,13.838,0.509,,,7,30,18.5,3,10,6.5,,NSW flora online,
Toona.ciliata,9,12,4,https://www.rbgsyd.nsw.gov.au/welcome/royal_botanic_garden/gardens_and_domain/Plant_of_the_Month/Toona_ciliata,NA,30.40175,45,,2,14.93281493,0.397125,,,4,15,9.5,1.5,5,3.25,,NSW flora online,
Cryptocarya.glaucescens,,,,,2,25.770375,45,,323.99,10.45066667,0.5472,,,5,13,9,2,4,3,,NSW flora online,
Cryptocarya.obovata,2,4,3,FLOYD AG,NA,18.45,45,,NA,NA,0.51035,,,5,10,7.5,2,4,3,,NSW flora online,
Ficus.watkinsiana,,,,,NA,60.86,40,,1.978,NA,0.375,,,10,25,17.5,3,7,5,,NSW flora online,
Citronella.moorei,,,,,5,35.875,40,,NA,NA,0.576,,,6,15,10.5,3,7,5,,NSW flora online,
Lophostemon.confertus,,,,,3,33.682,40,,6.500124679,NA,0.7328,,,9,17.5,13.25,2.5,4.5,3.5,,NSW flora online,
Planchonella.australis,10,1,4,FLOYD AG,NA,29.4,40,,670.4572629,NA,0.7568,,,8,16,12,2,5,3.5,,NSW flora online,
Elattostachys.nervosa,3,11,9,FLOYD AG,NA,24.6,40,,NA,NA,0.6622,,,8,16,12,2,4,3,,NSW flora online,
Heritiera.trifoliolata,7,9,3,FLOYD AG,NA,17.6175,40,NSW Flora Online,110,10.48273477,0.762,,,8,14,11,1,3,2,,NSW flora online,
Guioa.semiglauca,,,,,3,14.93977778,40,,42.63766667,11.82304216,0.7161,,,3,10,6.5,1,4,2.5,,NSW flora online,
Sarcopteryx.stipata,7,10,4,,NA,12.066,40,,37.19,9.169264625,0.83875,,,4,10,7,1.5,4,2.75,,NSW flora online,
Elaeocarpus.obovatus,,,,,3,11.82375,40,,86.232,10.84168512,0.60665,,,5,10,7.5,1,4,2.5,,NSW flora online,
Ficus.racemosa,,,,,NA,62.717,35,,0.13,NA,0.37,,,6,20,13,4,9,6.5,,http://keys.trin.org.au/key-server/data/0e0f0504-0103-430d-8004-060d07080d04/media/Html/taxon/Ficus_racemosa.htm,
Castanospermum.australe,,,,,3,32.7298,35,,13487.43901,11.96436009,0.61475,,,7,20,13.5,3,5,4,,NSW flora online,
Beilschmiedia.obtusifolia,10,11,2,FLOYD AG,NA,26.59333333,35,,384,10.98780354,0.637,,,6,10,8,2,3.5,2.75,,NSW flora online,
Alphitonia.excelsa,11,3,5,http://www.florabank.org.au/lucid/key/species%20navigator/media/html/Alphitonia_excelsa.htm,NA,22.86092308,35,,20.16374881,10.7194951,0.598,,,5,14,9.5,2,5,3.5,,NSW flora online,
Glochidion.ferdinandi,,,,,12,20.79657143,35,,2.242338365,13.25848987,0.587793125,,,3,10,6.5,1.5,4,2.75,,NSW flora online,
Aphananthe.philippinensis,9,11,3,FLOYD AG,NA,8.92,35,,36.47415914,13.96258028,0.58125,,,3,5,4,1.5,3,2.25,,NSW flora online,
Backhousia.myrtifolia,,,,,3,8.087666667,35,,10.9135,10.26136498,0.816764934,,,3.5,7.5,5.5,1,3.5,2.25,,NSW flora online,
Grevillea.robusta,,,,,3,1.155,35,,21.87425633,7.3995,0.525517021,,,0.5,5,2.75,0.2,1,0.6,,NSW flora online,
Elaeocarpus.grandis,,,,,3,25.06,34.7,,27.72609681,13.90226066,NA,,,8,19,13.5,1,4,2.5,,NSW flora online,
Lophostemon.suaveolens,,,,,3,35.58114286,30,,0.565,9.421189438,0.613878132,,,9,15,12,4,5,4.5,,NSW flora online,
Cryptocarya.macdonaldii,,,,,NA,30.8,30,,NA,NA,NA,,,,,,,,,,,
Olea.paniculata,,,,,3,30.015,30,,82.5,15.1194436,0.760333333,,,5,10,7.5,1.5,6,3.75,,NSW flora online,
Diospyros.fasciculosa,9,11,3,FLOYD AG,NA,26.9065,30,,NA,NA,0.69,,,6,15,10.5,1.5,6,3.75,,NSW flora online,
Syzygium.floribundum,11,1,2,FLOYD AG,NA,24.456,30,,NA,NA,0.6364,,,5.5,16,10.75,1.5,5,3.25,,NSW flora online,
Rhodamnia.rubescens,,,,,4,16.72766667,30,,3.798,10.993,0.6414,,,5,10,7.5,2,4.5,3.25,,NSW flora online,
Tristaniopsis.laurina,,,,,2,14.2245,30,,10.25641026,7.205137828,0.761540363,,,6.5,12,9.25,1.5,3,2.25,,NSW flora online,
Streblus.brunonianus,9,5,9,FLOYD AG,NA,10.68766667,30,,12,NA,0.68125,,,1,7,4,1,4,2.5,,NSW flora online,
Toechima.tenax,5,7,3,FLOYD AG,NA,6.15,30,,NA,NA,0.6622,,,3,6,4.5,1,3,2,,NSW flora online,
Hymenosporum.flavum,,,,,3,30.435,28,,6.745120843,NA,0.5885,,,8,16,12,3,4.5,3.75,,NSW flora online,
Diospyros.pentamera,9,12,4,FLOYD AG,NA,14.875,27.8,,46.04,8.348706082,0.601666667,,,3,10,6.5,1,3.5,2.25,,NSW flora online,
Rhodosphaera.rhodanthema,,,,,3,7.963,27,,448.871,NA,0.5895,,,3,10,6.5,1,2.5,1.75,,NSW flora online,
Commersonia.bartramia,12,2,3,https://www.rbgsyd.nsw.gov.au/annan/the_garden/Plant_of_the_Month/commersonia_bartramia,NA,52.69666667,25,,9.5,11.50350857,0.4205,,,6,15,10.5,4,10,7,,NSW flora online,
Mallotus.philippensis,,,,,11,40.03966667,25,,22.75025911,NA,0.603333333,,,4,12,8,2,7,4.5,,NSW flora online,
Pittosporum.undulatum,,,,,4,28.9654,25,,9.342539041,11.1524932,0.6446,,,6,15,10.5,1.5,4,2.75,,NSW flora online,
Endiandra.discolor,10,11,2,FLOYD AG,NA,25.718,25,,250.42,9.726514482,0.58725,,,4,10,7,2,5,3.5,,NSW flora online,
Cinnamomum.oliveri,10,11,2,http://www.dpi.nsw.gov.au/__data/assets/pdf_file/0004/390055/NSW-Rainforest-Trees-Part-I-Family-Lauraceae.pdf,NA,24.285,25,,NA,NA,0.473,,,8,15,11.5,2,3,2.5,,NSW flora online,
Endiandra.pubens,3,5,3,FLOYD AG,NA,23.915,25,,NA,NA,0.64965,,,6,14,10,2,5,3.5,,NSW flora online,
Cleistanthus.cunninghamii,8,9,2,FLOYD AG,NA,23.13042857,25,,NA,11.95542308,0.643725,,,3,9,6,2,4,3,,NSW flora online,
Drypetes.deplanchei,,,,,3,19.93171429,25,,91.2435,10.30731679,0.778,,,4,9,6.5,1,5,3,,NSW flora online,
Elattostachys.xylocarpa,12,4,5,FLOYD AG,NA,10.3355,25,,NA,NA,0.6626,,,3,8,5.5,1.4,4,2.7,,NSW flora online,
Casuarina.cunninghamiana,,,,,12,0.132333333,25,,1.1005,2.883280076,0.677050148,,,5,15,10,0.04,0.06,0.05,,J. Lawson field obs.,
Schefflera.actinophylla,,,,,5,117.469,24,,7.879037868,NA,0.4065,,,8,30,19,4,8,6,,NSW flora online,
Syzygium.australe,,,,,3,13.813,24,,243.7709461,12.26777112,0.6115,,,3,10,6.5,1,3,2,,NSW flora online,
Cinnamomum.camphora,9,2,6,http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&card=T01,NA,NA,20,,92.5,14.972,NA,,,5,10,7.5,2.5,5,3.75,,NSW flora online,
Neolitsea.dealbata,,,,,3,59.69171429,20,,146.0075,12.39690179,0.499757143,,,7,18,12.5,2.5,8,5.25,,NSW flora online,
Synoum.glandulosum,,,,,3,42.95924,20,,202.231066,12.04712346,0.527571429,,,4,10,7,1.5,3,2.25,,NSW flora online,
Rhodomyrtus.psidioides,,,,,2,31.845,20,,4.1765,13.12388208,0.7783,,,5,25,15,2.5,6.5,4.5,,NSW flora online,
Ficus.coronata,,,,,12,31.05636364,20,,0.445,16.61736984,0.438253,,,5,10,7.5,2,5,3.5,,NSW flora online,
Alectryon.tomentosus,5,8,4,FLOYD AG,NA,23.625,20,,23.71025529,NA,NA,,,3,12,7.5,1,4,2.5,,NSW flora online,
Acmena.smithii,,,,,4,21.72422222,20,,239.8930164,9.149745374,0.647333333,,,3,11,7,1,5,3,,NSW flora online,
Acronychia.oblongifolia,,,,,2,20.725,20,,14.31078431,14.63068914,0.67375,,,4,12,8,1.4,4.5,2.95,,NSW flora online,
Cryptocarya.bidwillii,11,1,3,Floyd AG,NA,17.85,20,,NA,NA,0.645,,,5,12,8.5,2,4,3,,NSW flora online,
Cryptocarya.triplinervis,9,12,4,FLOYD AG,NA,15.405,20,https://www.anbg.gov.au/abrs/online-resources/flora/stddisplay.xsql?pnid=40436,263.8843078,10.67349771,0.65,,,5,10,7.5,2,4,3,,NSW flora online,
Daphnandra.tenuipes,3,6,4,FLOYD AG,NA,13.069,20,,NA,NA,0.5633,,,4,13,8.5,1.5,3,2.25,,NSW flora online,
Pararchidendron.pruinosum,,,,,4,12.47666667,20,,56,24.60629921,0.5125,,,2,8,5,1.5,2.5,2,,NSW flora online,
Arytera.distylis,9,10,2,FLOYD AG,NA,10.25,20,,NA,NA,0.6321,,,4,8,6,1.5,3.5,2.5,,NSW flora online,
Syzygium.oleosum,,,,,10,19.34944444,17,,198.3208963,11.3613777,0.751443983,,,3,12,7.5,1,4,2.5,,NSW flora online,
Celtis.sinensis,,,,,12,93.2,15,,47.44,19.66181675,0.59,,,4.5,9,6.75,3,4.5,3.75,,NSW flora online,
Eupomatia.laurina,,,,,3,36.43022727,15,,13.42415737,14.64945042,0.509,,,7,12,9.5,2,5,3.5,,NSW flora online,
Cupaniopsis.anacardioides,,,,,4,34.91685714,15,,183.1453318,10.92283161,0.7675,,,5,15,10,2,6,4,,NSW flora online,
Lepiderema.pulchella,9,10,2,FLOYD AG,NA,6.431,15,,NA,NA,NA,,,2.5,8,5.25,1,2.5,1.75,,NSW flora online,
Jagera.pseudorhus,3,5,3,FLOYD AG,NA,5.522,15,,37.25315709,22.29868475,0.653,,,2,7,4.5,0.6,2,1.3,,NSW flora online,
Melaleuca.bracteata,,,,,3,0.299,15,,0.057017027,NA,0.87,,,1,2.8,1.9,0.15,0.3,0.225,,NSW flora online,
Croton.acronychioides,6,10,5,FLOYD AG,NA,19.6,14,,NA,NA,NA,,,5,10,7.5,2,4,3,,NSW flora online,
Wilkiea.huegeliana,,,,,3,39.10555556,13.5,,131.15,9.724412427,0.62095,,,6,15,10.5,1,5,3,,NSW flora online,
Cupaniopsis.newmanii,7,10,4,FLOYD AG,NA,24.344,12,,NA,NA,NA,,,6,13,9.5,2.5,5,3.75,,NSW flora online,
Wilkiea.macrophylla,,,,,3,61.5,10,,NA,NA,NA,,,8,22,15,3,9,6,,NSW flora online,
Ficus.opposita,9,10,,http://www.environment.gov.au/system/files/resources/e3828504-4caa-44dd-9abf-675ae020ec7a/files/ssr107.pdf,NA,40.62933333,10,,0.8725,8.274036075,0.44,,,6,14,10,4,6,5,,http://keys.trin.org.au/key-server/data/0e0f0504-0103-430d-8004-060d07080d04/media/Html/taxon/Ficus_opposita.htm,
Diospyros.geminata,,,,,NA,16.538,10,,NA,NA,NA,,,6,9.5,7.75,2,5,3.5,,http://keys.trin.org.au/key-server/data/0e0f0504-0103-430d-8004-060d07080d04/media/Html/taxon/Diospyros_geminata.htm,
Myrsine.variabilis,,,,,5,14.45214286,10,,28.404,11.69247939,0.75917,,,3,10,6.5,1,3,2,,NSW flora online,
Archirhodomyrtus.beckleri,,,,,3,9.230166667,10,,1.495,11.16427286,0.53,,,3,8.5,5.75,1,3,2,,NSW flora online,
Notelaea.longifolia,,,,,7,34.93409091,9,,97.8275,9.648457335,0.83987,,,3.5,16,9.75,1,5.6,3.3,,NSW flora online,
Eugenia.uniflora,4,10,7,http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&state=&s=&ibra=all&card=T40,NA,NA,8,http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&state=&s=&ibra=all&card=T40,258.292,NA,NA,,,2.5,7,4.75,1.5,4,2.75,9.14375,http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&state=&s=&ibra=all&card=T40,
Leucaena.leucocephala,,,,,3,NA,8,NSW Flora Online,48,NA,NA,,,0.7,1.5,1.1,0.15,0.4,0.275,0.21175,NSW Flora Online,
Callistemon.viminalis,,,,,7,NA,8,NSW Flora Online,0.373767045,NA,0.689,,,7,7,7,0.3,0.7,0.5,2.45,NSW Flora Online,
Mallotus.claoxyloides,10,3,6,FLOYD AG,NA,35.875,8,,62.86036375,NA,NA,,,5,12,8.5,3,6,4.5,,NSW Flora Online,
Breynia.oblongifolia,,,,,3,3.690666667,8,,6.744,12.95235,0.62,,,2,3,2.5,1,1.5,1.25,,NSW Flora Online,
Aristolochia.elegans,10,3,6,http://keyserver.lucidcentral.org/weeds/data/03030800-0b07-490a-8d04-0605030c0f01/media/Html/Aristolochia_elegans.htm,NA,NA,7,,2.104,NA,NA,,,3,8,5.5,3,10,6.5,25.025,NSW Flora Online,
Pavetta.australiensis,,,,,3,47.775,7,,219,NA,NA,,,4,15,9.5,1,6,3.5,,NSW Flora Online,
Cryptocarya.laevigata,10,12,3,FLOYD AG,NA,22.96775,7,,NA,11.48502644,NA,,,5,12,8.5,1,3,2,,NSW Flora Online,
Tecoma.stans,,,,,6,NA,5,,9,NA,NA,,,2.5,10,6.25,0.8,3,1.9,8.3125,NSW Flora Online,
Ligustrum.lucidum,,,,,6,34.63366667,4.5,,22.793,12.40541807,0.57942,,,4,13,8.5,3,5,4,,NSW Flora Online,
Solanum.mauritianum,,,,,9,NA,4,NSW Flora Online,1.07,20.12699687,0.449091629,,,9,30,19.5,3.5,14,8.75,119.4375,NSW Flora Online,
Lantana.camara,,,,,2,27.3964,4,,19.0005,20.819,NA,,,2.5,8,5.25,1.5,4.5,3,,NSW Flora Online,
Tabernaemontana.pandacaqui,,,,,6,26.01833333,4,,23.597,NA,NA,,,5,18,11.5,2,5,3.5,,NSW Flora Online,
Atractocarpus.chartaceus,,,,,4,11.96,4,,NA,NA,NA,,,5,15,10,0.5,3,1.75,,NSW Flora Online,
Ricinus.communis,1,3,3,http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&card=S05,NA,NA,3.5,http://keyserver.lucidcentral.org/weeds/data/080c0106-040c-4508-8300-0b0a06060e01/media/Html/Ricinus_communis.htm,295.6,NA,NA,,,,,,,,,,,
Senna.septemtrionalis,9,5,9,NSW Flora Online,NA,NA,3,NSW Flora Online,20.604,NA,NA,,,4.5,7,5.75,1.5,2.8,2.15,8.65375,NSW Flora Online,
Tecoma.capensis,,,,,6,NA,3,NSW Flora Online,2.148,NA,NA,,,1,4,2.5,0.5,2.5,1.5,2.625,NSW Flora Online,
Ligustrum.sinense,,,,,5,13.07,3,,16.82566667,9.712397385,0.612,,,2,5,3.5,1.5,2.5,2,,NSW Flora Online,
Ochna.serrulata,9,2,6,http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&ibra=all&card=S04,NA,6.7976,3,,83.76,20.19766667,NA,,,2,6,4,0.7,1.5,1.1,,NSW Flora Online,
Ardisia.crenata,,,,,NA,NA,2,http://keyserver.lucidcentral.org/weeds/data/03030800-0b07-490a-8d04-0605030c0f01/media/Html/Ardisia_crenata.htm,221,NA,NA,,,5,12,8.5,1.5,3.5,2.5,14.875,NSW Flora Online,
Pteridium.esculentum,,,,,NA,12.73466667,1.8,,NA,10.17097129,NA,,,,,,,,,0,,
Cyperus.involucratus,11,3,5,http://weeds.brisbane.qld.gov.au/weeds/umbrella-sedge,NA,NA,1.2,http://weeds.brisbane.qld.gov.au/weeds/umbrella-sedge,0.055,NA,NA,,,60,120,90,0.15,0.7,0.425,26.775,NSW Flora Online,
Lomandra.longifolia,,,,,5,39.68233333,1,,11.33,5.078207361,NA,,,50,100,75,0.5,0.75,0.625,32.8125,NSW Flora Online,
Phyllanthus.microcladus,,,,,3,0.147,1,,NA,NA,NA,,,0.4,0.8,0.6,0.2,0.5,0.35,0.147,NSW Flora Online,
Acacia.fimbriata,,,,,,,,,,,,,,2,5,3.5,0.2,0.6,0.4,0.98,NSW Flora Online,
Araucaria.cunninghamii,,,,,,,,,,,,,,0.5,1,0.75,0.05,0.1,0.075,0.039375,NSW Flora Online,estimated from herbarium photo
Argophyllum.nullumense,,,,,,,,,,,,,,5,15,10,2,5,3.5,24.5,NSW Flora Online,
Argyrodendron.trifoliolatum,,,,,,,,,,,,,,8,14,11,1,3,2,15.4,NSW Flora Online,
Canarium.australasicum,,,,,,,,,,,,,,5,13,9,2,5,3.5,22.05,NSW Flora Online,
Capparis.arborea,,,,,,,,,,,,,,5,10,7.5,1.5,5,3.25,17.0625,NSW Flora Online,
Clematis.aristata,,,,,,,,,,,,,,2,10,6,1,4.5,2.75,11.55,NSW Flora Online,
Clerodendrum.floribundum,,,,,,,,,,,,,,4,15,9.5,2,6,4,26.6,NSW Flora Online,
Diploglottis.australis,,,,,,,,,,,,,,10,30,20,4,8,6,84,NSW Flora Online,
Ipomoea.cairica,,,,,,,,,,,,,,4,9,6.5,1,3,2,9.1,NSW Flora Online,width estimated from herbarium photo
Ixora.beckleri,,,,,,,,,,,,,,6,13,9.5,3,6,4.5,29.925,NSW Flora Online,
Notelaea.microcarpa,,,,,,,,,,,,,,2,5,3.5,0.3,3,1.65,4.0425,NSW Flora Online,
Pittosporum.multiflorum,,,,,,,,,,,,,,0.3,0.12,0.21,0.25,0.8,0.525,0.077175,NSW Flora Online,
Polyscias.elegans,,,,,,,,,,,,,,5,12,8.5,3,6.5,4.75,28.2625,NSW Flora Online,
Pouteria.queenslandica,,,,,,,,,,,,,,9,20,14.5,3,6,4.5,45.675,NSW Flora Online,
Rhodamnia.argentea,,,,,,,,,,,,,,4,13,8.5,2.5,6,4.25,25.2875,NSW Flora Online,
,,,,,,,,,,,,,,,,,,,,,,
Acacia bakeri,,,,,,,,,,,,,,5,10,7.5,1.5,5,3.25,,NSW Flora Online,
Alangium villosum,,,,,,,,,,,,,,4,15,9.5,2,4,3,,NSW Flora Online,
Arytera divaricata,,,,,,,,,,,,,,5,10,7.5,1.5,6,3.75,,NSW Flora Online,
Bursaria incana,,,,,,,,,,,,,,2,7,4.5,0.5,0.12,0.31,,http://keys.trin.org.au/key-server/data/0e0f0504-0103-430d-8004-060d07080d04/media/Html/taxon/Bursaria_incana.htm,
Callistemon salignus,,,,,,,,,,,,,,6,9,7.5,0.5,1.4,0.95,,NSW Flora Online,
Carex appressa,,,,,,,,,,,,,,40,120,80,0.2,0.4,0.3,,NSW Flora Online,
Cayratia clematidea,,,,,,,,,,,,,,1,8,4.5,0.5,4,2.25,,NSW Flora Online,
Cissus hypoglauca,,,,,,,,,,,,,,3,15,9,1.5,4,2.75,,NSW Flora Online,
Dioscorea transversa,,,,,,,,,,,,,,5,12,8.5,2,8,5,,NSW Flora Online,
Diospyros australis,,,,,,,,,,,,,,3,10,6.5,1.5,4,2.75,,NSW Flora Online,
Dysoxylum rufum,,,,,,,,,,,,,,5,17,11,2,4,3,,NSW Flora Online,
Endiandra sieberi,,,,,,,,,,,,,,5,10,7.5,1,3,2,,NSW Flora Online,
Euroschinus falcatus,,,,,,,,,,,,,,3.5,10,6.75,1.5,4,2.75,,NSW Flora Online,
Ficus fraseri,,,,,,,,,,,,,,6,14,10,2.5,6.5,4.5,,NSW Flora Online,
Ficus obliqua,,,,,,,,,,,,,,3,13,8,1.5,6,3.75,,NSW Flora Online,
Flindersia schottiana,,,,,,,,,,,,,,5,22,13.5,1.5,6,3.75,,NSW Flora Online,
Helicia glabriflora,,,,,,,,,,,,,,5,15,10,1.5,4,2.75,,NSW Flora Online,
Hippocratea barbata,,,,,,,,,,,,,,4,9,6.5,1.5,3.5,2.5,,NSW Flora Online,
Melaleuca quinquenervia,,,,,,,,,,,,,,3,7,5,0.8,2.4,1.6,,NSW Flora Online,
Melia azedarach,,,,,,,,,,,,,,2.5,7,4.75,1,3,2,,NSW Flora Online,
Mischocarpus pyriformis,,,,,,,,,,,,,,2,15,8.5,2,6,4,,NSW Flora Online,
Psychotria loniceroides,,,,,,,,,,,,,,4.5,14.5,9.5,1.5,5,3.25,,NSW Flora Online,
Syzygium luehmannii,,,,,,,,,,,,,,2.5,7.5,5,1,3,2,,NSW Flora Online,
Trema tomentosa,,,,,,,,,,,,,,2,8,5,1,3,2,,NSW Flora Online,
Wikstroemia indica,,,,,,,,,,,,,,2,6,4,1,2,1.5,,NSW Flora Online,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Macfadyena unguis-cati,9,11,4,,,,20,,,,,,,,,,,,,,http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&state=&s=&ibra=all&card=V05,
Macfadyena unguis-cati,,,,,,,,,,161.09,,,,,,,,,,,http://onlinelibrary.wiley.com.simsrad.net.ocs.mq.edu.au/doi/10.1111/j.1442-9993.2009.02071.x/full,
Macfadyena unguis-cati,,,,,,,,,29,,,,,,,,,,,,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2005.01034.x/full,
Macfadyena unguis-cati,,,,,,14,,,,,,,,,,,,,,,"TWO VARIETIES OF THE INVASIVE CAT’S CLAW CREEPER, MACFADYENA UNGUIS-CATI (BIGNONIACEAE) IN QUEENSLAND, AUSTRALIA",
