,flowering.duration,leaf.area,maximum.height,seed.mass,SLA,wood.density
acacia bakeri,3,16.6565,40,55.2395,,0.7725
acacia fimbriata,5,,6,21.13132885,8.88,
acmena smithii,4,21.72422222,20,239.8930164,9.149745374,0.647333333
acronychia oblongifolia,2,20.725,20,14.31078431,14.63068914,0.67375
ailanthus triphysa,,7.1875,45,37.699,,0.3705
alangium villosum,6,35.376875,20,191.78,17.77262044,0.556833333
alectryon tomentosus,4,23.625,20,23.71025529,,
alphitonia excelsa,5,22.86092308,35,20.16374881,10.7194951,0.598
alyxia ruscifolia,9,3.633333333,6,142.8935427,,
aphananthe philippinensis,3,6.605357143,35,36.47415914,15.09208746,0.58125
archirhodomyrtus beckleri,3,9.230166667,10,1.495,11.16427286,0.53
argyrodendron trifoliolatum,3,21.177,40,110,11.53063133,0.762
aristolochia elegans,6,25.025,3,2.104,,
arytera distylis,2,10.25,20,,,0.6321
arytera divaricata,,38.18966667,30,59.7,10.95107768,0.6115
atalaya salicifolia,,13.781,12,33.27,,0.724
auranticarpa rhombifolia,6,23.8,40,,,0.700633333
backhousia myrtifolia,3,8.087666667,35,10.9135,10.26136498,0.816764934
beilschmiedia obtusifolia,2,26.59333333,35,384,10.98780354,0.637
breynia oblongifolia,3,3.690666667,8,6.744,12.95235,0.62
bursaria incana,3,3.2375,10,2.927,,0.74
calamus muelleri,3,53.60875,10,443.925,13.0429245,
callerya megasperma,3,9.72825,20,7385.347116,,
callistemon salignus,3,,6,0.04832647,,0.839
callistemon viminalis,7,2.96025,8,0.373767045,8.67904711,0.689
canarium australasicum,,23.8,40,678.88,,0.584
capparis arborea,3,24.978125,10,49.052,8.893318898,0.681
cardiospermum grandiflorum,6,8.81,10,34.692,23.97813288,
carex appressa,4,28.44666667,1.5,0.9155,14.14,
carex spp,4,28.44666667,1.5,0.9155,14.14,
carissa ovata,3,4.185,4,50.76,,
carronia multisepalea,,45.535,15,62.832,,0.5805
castanospermum australe,3,30.38181429,35,13487.43901,14.65211768,0.61475
casuarina cunninghamiana,12,0.37940625,25,1.1005,2.825190956,0.677050148
cayratia clematidea,3,6.076666667,2,24.47433333,41.08713127,
celtis sinensis,12,37.41153333,15,47.44,27.57638816,0.59
cinnamomum camphora,6,11.128,20,92.5,16.44677541,0.460635
cinnamomum oliveri,2,24.285,25,,,0.473
cissus antarctica,9,38.0355,2,65.4,16.02778242,0.545107896
cissus hypoglauca,6,15.908,15,37.75933333,14.36542217,
citronella moorei,5,35.875,40,,,0.576
cleistanthus cunninghamii,2,20.46136667,25,,15.84799898,0.643725
clematis aristata,4,26.55028571,8,3.993,21.94023009,0.2981
clerodendrum floribundum,5,65.691,13,43.7,,
commersonia bartramia,3,52.69666667,25,9.5,11.50350857,0.4205
cryptocarya bidwillii,3,17.85,20,,,0.645
cryptocarya glaucescens,2,25.770375,45,323.99,10.45066667,0.5472
cryptocarya laevigata,3,20.75409722,7,,13.63707401,
cryptocarya obovata,3,41.89172,45,,13.24898537,0.51035
cryptocarya triplinervis,4,14.83954167,20,263.8843078,14.83633321,0.65
cupaniopsis anacardioides,4,32.018125,15,183.1453318,10.5434335,0.7675
cyperus involucratus,5,38.25,1.2,0.055,,
cyperus spp,5,38.25,1.2,0.055,,
daphnandra tenuipes,4,13.069,20,,,0.5633
derris involuta,6,8.313,20,17.508,,
dioscorea transversa,3,20.52381818,1.5,21.3085,42.67855042,
diospyros australis,,16.64876923,20,233.462,7.238295838,0.633
diospyros ellipticifolia,4,72.45,6,38.47016653,,
diospyros fasciculosa,3,26.9065,30,,,0.69
diospyros pentamera,4,14.875,27.8,46.04,8.348706082,0.601666667
diploglottis australis,3,90.58966667,45,,,0.621233333
drypetes deplanchei,3,19.93171429,25,91.2435,10.30731679,0.778
dysoxylum rufum,,37.43166667,30,108.47,24.54590083,0.551
elaeocarpus grandis,3,25.06,34.7,27.72609681,13.90226066,
elaeocarpus obovatus,3,11.82375,40,86.232,10.84168512,0.60665
elattostachys nervosa,9,23.41966667,40,,17.63055773,0.6622
elattostachys xylocarpa,5,10.3355,25,,,0.6626
embelia australiana,1,22.16371429,,59.49,12.77505002,
endiandra discolor,2,24.6912,25,250.42,10.25760748,0.58725
endiandra globosa,,37.474,30,20585.27521,,0.754
endiandra pubens,3,23.915,25,,,0.64965
endiandra sieberi,5,15.355,30,1758.5,9.269558769,0.6325
eugenia uniflora,7,9.14375,8,258.292,,0.7568
eupomatia laurina,3,36.09833333,15,13.42415737,14.64945042,0.509
euroschinus falcatus,,24.60142857,30,7.62,13.67119797,0.4225
ficus coronata,12,31.51154762,20,0.445,16.77467948,0.438253
ficus fraseri,,37.74314286,35,0.23,15.20347059,0.443
ficus obliqua,,19.39966667,50,0.44,13.21003963,0.513
ficus opposita,,40.62933333,10,0.8725,8.274036075,0.44
ficus racemosa,,62.717,35,0.13,,0.37
ficus virens,,46.288,40,0.25,,0.342
ficus watkinsiana,,60.86,40,1.978,,0.375
flagellaria indica,12,22.38892308,2,33.04033134,18.84589671,
flindersia schottiana,2,41.68933333,45,53.326,9.532888465,0.584857143
geitonoplesium cymosum,6,5.6658125,3,15.32,32.90140926,
glochidion ferdinandi,12,21.529375,35,2.242338365,14.71389809,0.587793125
grevillea robusta,3,43.86746667,35,21.87425633,10.60468018,0.525517021
guioa semiglauca,3,14.5305,40,42.63766667,12.3810054,0.7161
helicia glabriflora,,27.47666667,30,152.7,8.400537634,0.5762
hippocratea barbata,2,13.1896,1.3,41.5,26.60299833,
hodgkinsonia ovatiflora,3,10.25,35,,,0.8256
hymenosporum flavum,3,29.57566667,28,6.745120843,14.71574702,0.5885
ixora beckleri,4,29.2125,15,,,0.8256
jagera pseudorhus,3,5.522,15,37.25315709,22.29868475,0.653
lantana camara,2,28.59416667,4,19.0005,23.70912845,
legnephora moorei,3,130.847,,36,27.15177844,
leucaena leucocephala,3,0.21175,8,48,,0.76
ligustrum lucidum,6,29.48565,4.5,22.793,13.21167898,0.57942
ligustrum sinense,5,3.6995,3,16.82566667,9.712397385,0.612
lomandra hystrix,6,85.25,1.3,13.92,,
lomandra longifolia,5,39.68233333,1,11.33,5.078207361,
lomandra sp,5,39.68233333,1,11.33,5.078207361,
lophostemon confertus,3,33.682,40,6.500124679,,0.7328
lophostemon suaveolens,3,35.58114286,30,0.565,9.421189438,0.613878132
macadamia tetraphylla,3,43.845,18,,6.254,
macfadyena unguiscati,4,14,20,29,16.109,
maclura cochinchinensis,,8.60825,15,11.167,18.42224673,
mallotus claoxyloides,6,32.21625,8,62.86036375,17.06017648,
mallotus philippensis,11,42.04190476,25,22.75025911,19.12979351,0.603333333
marsdenia rostrata,6,38.65233333,1.8,77.35,23.69965666,
melaleuca bracteata,3,0.299,15,0.057017027,,0.87
melaleuca quinquenervia,7,7.508,35,0.200263476,7.962321972,0.670125036
melaleuca spp,3,0.299,15,0.057017027,,0.87
melia azedarach,4,6.3,45,321.3758325,,0.387666667
micromelum minutum,12,28.1105,10,22,,
mischocarpus pyriformis,,37.90657143,30,187.2,8.786000605,0.6
morinda jasminoides,7,9.538090909,20,7.248333333,26.0434634,
myrsine variabilis,5,14.45214286,10,28.404,11.69247939,0.75917
neolitsea dealbata,3,59.3437549,20,146.0075,12.74945021,0.499757143
notelaea longifolia,7,34.93409091,9,97.8275,9.648457335,0.83987
notelaea microcarpa,7,10.5876,10,43.521,6.615,0.638719277
ochna serrulata,6,6.7976,3,83.76,20.19766667,
olea paniculata,3,30.015,30,82.5,15.1194436,0.760333333
pandorea pandorana,7,10.1108,1.6,3.9844375,27.01734496,0.4477
pararchidendron pruinosum,4,12.47666667,20,56,24.60629921,0.5125
parsonsia straminea,5,41.86672727,17,8.848,22.37626912,
passiflora edulis,5,130.67,5,13.481,21.6,
pavetta australiensis,3,47.775,7,219,,
pittosporum multiflorum,6,0.268,4.2,11.071,,
pittosporum undulatum,4,28.9654,25,9.342539041,11.1524932,0.6446
planchonella australis,4,29.4,40,670.4572629,,0.7568
polyscias elegans,5,29.274125,30,6.840260938,13.73551125,0.36075
pothos longipes,2,4.2,,109,12.0048,
pseudoweinmannia lachnocarpa,3,16.678,35.2,,,0.744666667
psychotria daphnoides,3,1.26,2,18.413,,
psychotria loniceroides,3,20.94175,5,9.589085781,14.66992496,0.69
rhodamnia argentea,4,24.684,40,16.978,,0.705366667
rhodamnia rubescens,4,16.72766667,30,3.798,10.993,0.6414
rhodomyrtus psidioides,2,31.845,20,4.1765,13.12388208,0.7783
rhodosphaera rhodanthema,3,7.963,27,448.871,,0.5895
ricinus communis,3,,3.5,295.6,47.11,
ripogonum spp,5,37.2,15,1.89,11.94,
rubus moluccanus,6,45.15766667,,0.85,13.84331023,
rubus rosifolius,12,3.19675,1,0.524784111,23.95933333,
sarcopteryx stipata,4,12.066,40,37.19,9.169264625,0.83875
schefflera actinophylla,5,117.469,24,7.879037868,,0.4065
schoenoplectus validus,6,97.5,2,0.91,,
senna pendula,12,3.06,3,18.5,,
senna septemtrionalis,9,8.65375,3,20.604,,
sloanea australis,6,59.21316667,45,,15.36101734,0.509
sloanea woollsii,3,35.535,45,,,0.523733333
smilax australis,6,53.425125,4,35.2845,11.21656857,
solanum mauritianum,9,119.4375,4,1.07,20.12699687,0.449091629
stephania japonica,6,40.52418182,1,20.58866667,21.61541145,
sterculia quadrifida,3,91.17933333,25,,,0.322
streblus brunonianus,9,11.42981667,30,12,21.07134504,0.68125
synoum glandulosum,3,42.32160577,20,202.231066,12.37756036,0.527571429
syzygium australe,3,13.24733333,24,243.7709461,13.04866537,0.6115
syzygium floribundum,2,24.456,30,1455.381038,13.58,0.5897
syzygium luehmannii,3,6.321,35,21.10370999,13.91718481,0.645
syzygium oleosum,10,19.34944444,17,198.3208963,11.3613777,0.751443983
tabernaemontana pandacaqui,6,26.01833333,4,23.597,,
tecoma capensis,6,2.625,3,2.148,,
tecoma stans,6,8.3125,5,9,,0.462
toechima tenax,3,6.15,30,,,0.6622
toona ciliata,4,30.40175,45,2,14.93281493,0.397125
trema tomentosa,4,21.958,6,3.53,27.54353253,0.356552427
tristaniopsis laurina,2,14.2245,30,10.25641026,7.205137828,0.761540363
trophis scandens,12,24.6769,,80.55,10.49585169,0.658939167
wikstroemia indica,2,5.206666667,4,17,25.1572327,0.58
wilkiea huegeliana,3,38.0299375,13.5,131.15,9.9607304,0.62095
